"カテゴリ","サービスID","サービス名","提供元","公式URL","サービス概要","プランID","プラン名","プラン説明","適用開始","適用終了","金額","通貨","課金","税","出典","備考"
"ゲーム・その他","nintendo-switch-online","Nintendo Switch Online","任天堂","https://www.nintendo.com/jp/switch/online/","Nintendo Switchのオンラインプレイに必須のサービス。ファミコン・スーパーファミコン・Nintendo 64等のクラシックゲームが遊び放題。","nso-individual","個人プラン","","2018-09-19","","2400","JPY","annual","税込","https://www.nintendo.com/jp/switch/online/","サービス開始時より同価格"
"ゲーム・その他","nintendo-switch-online","Nintendo Switch Online","任天堂","https://www.nintendo.com/jp/switch/online/","Nintendo Switchのオンラインプレイに必須のサービス。ファミコン・スーパーファミコン・Nintendo 64等のクラシックゲームが遊び放題。","nso-family","ファミリープラン","最大8人","2018-09-19","","4500","JPY","annual","税込","https://www.nintendo.com/jp/switch/online/","サービス開始時より同価格"
"ゲーム・その他","playstation-plus","PlayStation Plus","ソニー・インタラクティブエンタテインメント","https://www.playstation.com/ja-jp/ps-plus/","PlayStation Network向けのサブスクリプションサービス。オンラインマルチプレイのほか、月替わりのフリープレイゲームや各種割引特典を提供。","psplus-essential","Essential","オンラインプレイ＋月2本フリープレイ","2023-09-06","","850","JPY","monthly","税込","https://www.playstation.com/ja-jp/ps-plus/","価格改定"
"ゲーム・その他","playstation-plus","PlayStation Plus","ソニー・インタラクティブエンタテインメント","https://www.playstation.com/ja-jp/ps-plus/","PlayStation Network向けのサブスクリプションサービス。オンラインマルチプレイのほか、月替わりのフリープレイゲームや各種割引特典を提供。","psplus-extra","Extra","Essential＋ゲームカタログ","2023-09-06","","1300","JPY","monthly","税込","https://www.playstation.com/ja-jp/ps-plus/","価格改定"
"ゲーム・その他","playstation-plus","PlayStation Plus","ソニー・インタラクティブエンタテインメント","https://www.playstation.com/ja-jp/ps-plus/","PlayStation Network向けのサブスクリプションサービス。オンラインマルチプレイのほか、月替わりのフリープレイゲームや各種割引特典を提供。","psplus-deluxe","Deluxe","Extra＋クラシックゲームカタログ","2023-09-06","","1550","JPY","monthly","税込","https://www.playstation.com/ja-jp/ps-plus/","価格改定"
"ゲーム・その他","xbox-game-pass","Xbox Game Pass","Microsoft","https://www.xbox.com/ja-JP/xbox-game-pass","Microsoftが提供するゲームサブスクリプションサービス。数百本のゲームが遊び放題で、コンソール・PC・クラウドで利用可能。","xbox-gp-core","Game Pass Core","オンラインプレイ＋一部ゲーム","2023-09-01","","850","JPY","monthly","税込","https://www.xbox.com/ja-JP/xbox-game-pass",""
"ゲーム・その他","xbox-game-pass","Xbox Game Pass","Microsoft","https://www.xbox.com/ja-JP/xbox-game-pass","Microsoftが提供するゲームサブスクリプションサービス。数百本のゲームが遊び放題で、コンソール・PC・クラウドで利用可能。","xbox-gp-pc","Game Pass PC","PC向けゲームカタログ","2023-09-01","","850","JPY","monthly","税込","https://www.xbox.com/ja-JP/xbox-game-pass",""
"ゲーム・その他","xbox-game-pass","Xbox Game Pass","Microsoft","https://www.xbox.com/ja-JP/xbox-game-pass","Microsoftが提供するゲームサブスクリプションサービス。数百本のゲームが遊び放題で、コンソール・PC・クラウドで利用可能。","xbox-gp-ultimate","Game Pass Ultimate","コンソール＋PC＋クラウド＋EA Play","2023-09-01","","1210","JPY","monthly","税込","https://www.xbox.com/ja-JP/xbox-game-pass",""
"ゲーム・その他","lyp-premium","LYPプレミアム","LINEヤフー","https://premium.yahoo.co.jp/","LINEヤフーが提供する会員サービス。Yahoo!ショッピングでのポイント還元率アップ、各種サービスの優待など多数の特典がある。","lyp-premium-standard","月額プラン","","2024-04-01","","508","JPY","monthly","税込","https://premium.yahoo.co.jp/","LYPプレミアムへのリブランド"
"ゲーム・その他","ponta-pass","Pontaパス","au（KDDI）","https://pass.auone.jp/ponta/","KDDIが提供するauユーザー向け優待サービス。Pontaポイントの付与率アップや、対象店舗でのクーポン特典が利用できる。","ponta-pass-standard","月額プラン","auユーザー向け","2022-11-01","","548","JPY","monthly","税込","https://pass.auone.jp/ponta/",""
