"カテゴリ","サービスID","サービス名","提供元","公式URL","サービス概要","プランID","プラン名","プラン説明","適用開始","適用終了","金額","通貨","課金","税","出典","備考"
"音楽","spotify","Spotify プレミアム","Spotify","https://www.spotify.com/jp/premium/","スウェーデン発の音楽ストリーミングサービス。1億曲以上とポッドキャストが広告なしで聴き放題。ダウンロードによるオフライン再生にも対応。","spotify-individual","個人","","2023-07-24","","980","JPY","monthly","税込","https://www.spotify.com/jp/premium/","価格改定"
"音楽","spotify","Spotify プレミアム","Spotify","https://www.spotify.com/jp/premium/","スウェーデン発の音楽ストリーミングサービス。1億曲以上とポッドキャストが広告なしで聴き放題。ダウンロードによるオフライン再生にも対応。","spotify-duo","デュオ","2人まで","2023-07-24","","1280","JPY","monthly","税込","https://www.spotify.com/jp/premium/","価格改定"
"音楽","spotify","Spotify プレミアム","Spotify","https://www.spotify.com/jp/premium/","スウェーデン発の音楽ストリーミングサービス。1億曲以上とポッドキャストが広告なしで聴き放題。ダウンロードによるオフライン再生にも対応。","spotify-family","ファミリー","6人まで","2023-07-24","","1580","JPY","monthly","税込","https://www.spotify.com/jp/premium/","価格改定"
"音楽","apple-music","Apple Music","Apple","https://www.apple.com/jp/apple-music/","Appleの音楽ストリーミングサービス。1億曲以上がロスレス・ハイレゾ音質で聴き放題。空間オーディオ（Dolby Atmos）にも対応。","apple-music-individual","個人","","2023-01-01","","1080","JPY","monthly","税込","https://www.apple.com/jp/apple-music/","価格改定"
"音楽","apple-music","Apple Music","Apple","https://www.apple.com/jp/apple-music/","Appleの音楽ストリーミングサービス。1億曲以上がロスレス・ハイレゾ音質で聴き放題。空間オーディオ（Dolby Atmos）にも対応。","apple-music-family","ファミリー","6人まで","2023-01-01","","1680","JPY","monthly","税込","https://www.apple.com/jp/apple-music/","価格改定"
"音楽","youtube-music","YouTube Music プレミアム","Google","https://music.youtube.com/","Googleが提供する音楽ストリーミングサービス。YouTubeのMVを含む楽曲が聴き放題で、バックグラウンド再生やオフライン再生も可能。","youtube-music-individual","個人","","2023-11-01","","980","JPY","monthly","税込","https://music.youtube.com/","価格改定"
"音楽","youtube-music","YouTube Music プレミアム","Google","https://music.youtube.com/","Googleが提供する音楽ストリーミングサービス。YouTubeのMVを含む楽曲が聴き放題で、バックグラウンド再生やオフライン再生も可能。","youtube-music-family","ファミリー","最大5人","2023-11-01","","1480","JPY","monthly","税込","https://music.youtube.com/","価格改定"
"音楽","amazon-music-unlimited","Amazon Music Unlimited","Amazon","https://www.amazon.co.jp/music/unlimited","Amazonの音楽ストリーミングサービス。1億曲以上が聴き放題で、Ultra HD・空間オーディオにも対応。プライム会員向け割引あり。","amazon-music-prime","プライム会員向け","","2023-01-01","","880","JPY","monthly","税込","https://www.amazon.co.jp/music/unlimited",""
"音楽","amazon-music-unlimited","Amazon Music Unlimited","Amazon","https://www.amazon.co.jp/music/unlimited","Amazonの音楽ストリーミングサービス。1億曲以上が聴き放題で、Ultra HD・空間オーディオにも対応。プライム会員向け割引あり。","amazon-music-standard","通常","","2023-01-01","","1080","JPY","monthly","税込","https://www.amazon.co.jp/music/unlimited",""
"音楽","amazon-music-unlimited","Amazon Music Unlimited","Amazon","https://www.amazon.co.jp/music/unlimited","Amazonの音楽ストリーミングサービス。1億曲以上が聴き放題で、Ultra HD・空間オーディオにも対応。プライム会員向け割引あり。","amazon-music-family","ファミリー","最大6人","2023-01-01","","1680","JPY","monthly","税込","https://www.amazon.co.jp/music/unlimited",""
"音楽","line-music","LINE MUSIC","LINE","https://music.line.me/","LINEが提供する音楽ストリーミングサービス。LINEとの連携機能が特徴で、着信音や通話中BGMへの楽曲設定も可能。","line-music-standard","スタンダード","","2023-01-01","","980","JPY","monthly","税込","https://music.line.me/",""
"音楽","line-music","LINE MUSIC","LINE","https://music.line.me/","LINEが提供する音楽ストリーミングサービス。LINEとの連携機能が特徴で、着信音や通話中BGMへの楽曲設定も可能。","line-music-student","学割","学生向け","2023-01-01","","480","JPY","monthly","税込","https://music.line.me/",""
